红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
1,3(7),-,-,0.3,6.19,-,0.5,0.1,-,1.1,1.6,0.3,0.4,-,-,-,-,0.2,-,-,-,-,6,90%,90%,0.8,20%,-,-,90%,90%,89%,100%,-,-,100%,-
0,22,1,4,1,7.29,5,2,1.1,67%,4.2,4.5,-,0.6,0.6,0.5,0.1,0.1,1.6,-,2,4,1,21.8,75%,63%,5.5,53%,11%,67%,75%,63%,84%,90%,10%,42%,75%,-
2,25(2),0.9,3,0.4,6.53,3,1.5,0.5,43%,1.1,1,0.2,0.8,0.6,0.2,-,0,1.2,-,2,3,0.9,15.9,74%,66%,3.4,35%,8%,43%,74%,66%,80%,79%,29%,34%,-,-
2,19(11),0.1,1,0.5,6.36,1,0.2,0.1,100%,0.3,0.3,0,1.4,0.9,1.4,0.3,0.3,0.8,1,-,1,0.1,18,74%,57%,3.5,29%,14%,100%,74%,57%,79%,76%,23%,31%,-,4%
3,29,0,-,1.4,6.31,-,0.2,-,-,0,0.4,0.1,0.9,0.8,4.2,0.7,0.6,0.9,-,-,-,0,19.9,79%,32%,2.3,-,-,-,79%,32%,81%,88%,-,30%,-,-
1,29,0.1,-,1.3,6.39,1,0.1,0.1,50%,0.2,0.3,-,1.1,0.7,4.3,0.8,0.8,1.1,2,-,-,0.1,24.6,81%,43%,4.1,75%,25%,50%,81%,43%,84%,87%,67%,45%,-,15%
6,17(2),0.1,-,1.9,6.45,-,0.5,0.1,-,0.1,0.9,-,1.3,0.8,2.1,0.7,0.2,2.3,-,-,-,0.1,24.8,76%,66%,4.1,22%,-,-,76%,66%,77%,87%,-,49%,-,-
8,24(1),0.3,1,1.1,6.58,1,0.5,0.1,-,0.4,2,-,1.4,1.3,2.4,0.4,0.4,1.2,-,-,1,0.3,31.2,81%,62%,3.6,17%,8%,-,81%,62%,86%,88%,22%,51%,-,-
3,26(2),0.5,2,1.5,6.55,2,0.4,0.1,-,0.5,1.1,0,1.6,1.5,1.4,0.1,0,1.3,1,2,2,0.5,29.6,81%,70%,4.2,36%,18%,-,81%,70%,84%,88%,29%,58%,-,5%
2,6(22),0.2,1,0.6,6.18,1,0.4,0.2,33%,0.1,0.5,0.1,0.6,0.1,0.1,0.1,0.1,0.6,-,-,1,0.2,5.9,75%,73%,0.7,42%,8%,33%,75%,73%,75%,83%,13%,21%,-,-
1,2(1),0.3,-,1.7,6.63,-,-,-,-,0.3,0.3,-,3,0.3,1.3,0.3,-,0.7,-,-,-,0.3,29.3,84%,86%,3,-,-,-,84%,86%,80%,93%,-,43%,-,-
0,3(1),-,-,1,6.32,-,0.5,-,-,-,0.3,-,0.5,2,2.8,0.8,1.3,0.5,-,-,-,-,22.3,75%,50%,4.8,-,-,-,75%,50%,77%,89%,-,42%,-,-
2,11(7),0.4,2,1.2,6.46,-,0.8,0.3,-,0.1,0.4,-,1.8,1.2,1.3,0.2,0.1,1.1,1,2,2,0.4,24.8,84%,77%,3.1,36%,-,-,84%,77%,84%,96%,-,63%,-,10%
0,4(8),0.1,-,1.1,6.33,-,0.1,-,-,0.1,0.3,-,0.8,0.8,1.5,0.4,-,0.6,-,-,-,0.1,12.8,76%,65%,1.2,-,-,-,76%,65%,76%,92%,17%,26%,-,-
0,1(3),-,-,0.3,5.98,-,0.3,-,-,-,0.3,0.3,-,-,-,-,-,0.3,-,-,-,-,1.5,67%,33%,-,-,-,-,67%,33%,100%,-,-,-,-,-
0,0(3),-,-,0.3,6.09,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.7,80%,100%,-,-,-,-,80%,100%,75%,-,-,100%,-,-
0,0(1),-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0(2),-,-,-,6.12,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,2,100%,-,-,-,-,-,100%,-,100%,-,100%,-,-,-
2,1(2),1,-,0.3,6.31,-,-,-,-,-,0.3,-,1,0.7,0.7,0.7,-,1.3,-,-,-,1,15.3,83%,47%,1.7,-,-,-,83%,47%,100%,100%,-,33%,-,-
0,0(6),0.2,1,-,6.04,-,-,-,-,-,0.2,-,-,-,0.2,-,-,-,-,-,1,0.2,2.7,63%,44%,1,-,-,-,63%,44%,86%,-,-,-,-,-
6,24(4),2.5,4,0.3,6.83,6,1.3,0.4,80%,1.6,1.8,0,1.1,0.7,0.3,0,-,0.8,-,-,4,2.5,33.1,79%,70%,5,30%,16%,80%,79%,70%,87%,83%,32%,54%,100%,-
0,5(6),0.8,1,0.3,6.43,3,1.9,0.5,67%,0.8,1.7,0.2,-,0.1,0.1,-,-,0.6,-,1,1,0.8,21.3,78%,68%,1.6,24%,14%,67%,78%,68%,89%,100%,23%,61%,-,-
2,35,0.3,1,4.9,7.13,5,0.8,0.3,100%,0.6,1.3,0,1.6,1.7,2.9,0.4,0.4,1.7,-,1,1,0.3,48.3,72%,46%,6.7,43%,18%,100%,72%,46%,76%,89%,100%,35%,100%,-
2,14(1),1.3,3,2.2,6.78,4,2.6,0.7,25%,1.1,0.6,0.4,0.5,0.3,0.3,-,0.1,0.9,-,-,3,1.3,21.9,78%,72%,1.4,26%,10%,25%,78%,72%,83%,93%,25%,73%,100%,-
1,20(6),0.8,6,5.1,7.32,11,3.9,1.4,50%,1.1,1.5,0.4,0.6,0,0.9,0.3,0,0.8,-,3,6,0.8,15,60%,49%,1.3,36%,11%,50%,60%,49%,80%,83%,27%,80%,-,-
1,6(2),0.5,1,0.6,6.46,-,0.5,-,-,1.1,1.4,-,0.9,0.8,0.3,0.1,-,0.5,-,-,1,0.5,37.4,88%,80%,3.3,-,-,-,88%,80%,89%,97%,-,66%,-,-
7,24(1),1.1,3,0.3,6.62,3,1,0.3,-,0.7,1.1,0.1,1.5,0.7,0.2,0.1,-,1.3,-,2,3,1.1,29.8,88%,76%,2.8,33%,13%,-,88%,76%,92%,97%,35%,63%,-,-
3,28(1),0.4,1,1.9,6.53,-,0.2,0,-,0.2,0.4,0.1,1.9,0.9,2.5,0.6,0.2,1.1,-,1,1,0.4,39.6,79%,65%,5.1,20%,-,-,79%,65%,82%,90%,25%,47%,-,-
1,24(5),0.7,2,1.3,6.66,10,2.1,0.9,32%,0.3,0.9,0.2,0.4,0.2,0.4,0.1,0,0.6,-,1,2,0.7,19.5,80%,73%,2,42%,16%,32%,80%,73%,86%,92%,23%,71%,100%,-
1,27,1.9,8,0.7,6.9,1,0.9,0.3,-,1,1.9,0,1.3,0.9,0.9,0.3,0.1,0.5,-,4,8,1.9,49.9,81%,72%,5.6,32%,4%,-,81%,72%,87%,86%,28%,52%,-,-
4,25,0.3,-,3.8,6.81,1,0.8,0.2,-,0.2,0.9,0,1.7,1.4,2.9,0.6,0.5,1.6,-,-,-,0.3,34.9,82%,61%,3.8,32%,5%,-,82%,61%,85%,88%,44%,58%,-,-
0,0(2),0.5,-,-,6.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,1,50%,-,-,-,-,-,50%,-,50%,-,100%,-,-,-
4,10(1),-,-,1,6.33,-,-,-,-,0.4,0.6,-,1.6,1.3,1.8,0.5,0.2,1.4,-,-,-,-,25.7,86%,59%,3.3,-,-,-,86%,59%,89%,90%,-,43%,-,-
3,10(3),0.1,1,1.3,6.31,-,0.2,-,-,-,0.2,-,1.1,0.7,2.5,0.4,0.7,1.2,-,-,1,0.1,29.9,86%,53%,3.4,-,-,-,86%,53%,90%,88%,-,51%,-,-
1,8(3),0.2,1,0.2,6.37,-,0.5,0.2,-,0.2,0.7,-,1.5,1.3,0.4,0.3,-,0.8,-,-,1,0.2,22.8,83%,74%,3.5,33%,-,-,83%,74%,87%,90%,29%,58%,-,-
3,14(1),0.5,2,0.7,6.29,-,-,-,-,0.1,0.4,-,0.8,1.2,1.5,0.1,0.3,1,-,-,2,0.5,31.7,81%,63%,3.1,-,-,-,81%,63%,86%,89%,24%,45%,-,-
3,10(3),0.5,-,0.8,6.42,-,-,-,-,0.1,0.5,-,1.8,0.8,2.1,0.3,0.2,0.8,-,-,-,0.5,25.3,80%,58%,2.6,-,-,-,80%,58%,85%,85%,23%,53%,-,-
0,5(1),-,-,2.8,5.74,-,-,-,-,-,0.7,-,1.2,0.5,2,-,0.2,1.5,-,-,-,-,41.2,81%,61%,3.3,-,-,-,81%,61%,85%,87%,-,61%,-,-
1,7(1),0.4,-,1,6.29,-,0.5,0.1,-,1,0.3,0.1,1.3,1.4,1.4,0.1,0.1,1.4,-,1,-,0.4,29.1,72%,55%,3.5,25%,-,-,72%,55%,75%,95%,7%,30%,-,-
0,2(7),0.3,1,0.6,6.37,-,0.3,0.1,-,0.4,0.6,-,0.7,0.3,0.2,-,-,0.6,-,1,1,0.3,9.1,74%,62%,1.3,33%,-,-,74%,62%,79%,90%,25%,38%,-,-
0,3(5),0.4,-,0.3,6.12,-,0.3,-,-,-,0.5,-,0.1,0.3,-,-,0.1,0.1,-,-,-,0.4,6.9,67%,62%,1.4,-,-,-,67%,62%,71%,100%,33%,25%,-,-
2,1(5),-,-,1.3,5.92,-,-,-,-,-,-,-,-,0.3,1.3,-,0.5,0.8,1,-,-,-,12.7,71%,38%,1.5,-,-,-,71%,38%,69%,95%,-,33%,-,100%
1,2(4),0.2,1,0.3,6.11,-,-,-,-,0.7,-,-,0.3,-,0.2,-,0.2,0.5,-,-,1,0.2,6,72%,60%,0.7,-,-,-,72%,60%,70%,100%,25%,-,-,-
0,0(2),-,-,-,6.66,1,0.5,0.5,100%,1,0.5,-,-,0.5,-,-,-,-,-,-,-,-,6,83%,89%,1,100%,100%,100%,83%,89%,50%,100%,-,100%,-,-
0,1(1),-,-,-,6.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.5,60%,100%,-,-,-,-,60%,100%,33%,-,-,-,-,-
2,27(1),1.9,8,0.8,7.56,29,5,2,60%,1.1,1.3,0.6,0.4,0.1,0.1,0.1,-,0.9,-,4,8,1.9,33.2,83%,77%,2.4,39%,21%,60%,83%,77%,91%,84%,33%,67%,33%,-
4,24(2),1.8,2,1,7.41,1,1,0.3,-,4.5,1.8,0.1,1.8,0.5,1.1,0.3,-,1.6,-,4,2,1.8,55.7,89%,83%,5.7,33%,4%,-,89%,83%,92%,95%,-,73%,-,-
3,24(2),2,10,0.2,7.28,13,3.6,1.4,47%,1.5,0.9,0.5,0.7,0.3,0.2,-,-,0.6,-,6,10,2,34.5,81%,70%,2.8,39%,14%,47%,81%,70%,91%,92%,23%,64%,31%,-
2,17(6),1.3,2,0.7,7.07,7,1.8,0.6,75%,1.8,2.1,0.1,1.1,0.4,0.3,-,-,1,-,3,2,1.3,23,84%,72%,3.8,32%,17%,75%,84%,72%,92%,98%,26%,63%,50%,-
6,28,1.5,8,0.5,6.85,-,0.5,0.2,-,1,0.8,0.1,2.6,0.9,1.3,0.1,-,0.9,-,10,8,1.5,45.6,89%,83%,5,38%,-,-,89%,83%,90%,95%,24%,51%,-,-
5,17(8),0.7,2,0.3,6.5,2,1,0.4,67%,0.9,0.9,0.1,1.4,0.6,0.8,0.2,0,1.6,-,2,2,0.7,28,84%,72%,3.2,38%,8%,67%,84%,72%,89%,92%,8%,61%,100%,-
4,20,0.8,1,1.3,6.85,-,0.1,-,-,1.1,1.6,0.2,2.5,1.9,1.9,0.2,0.2,1.1,-,1,1,0.8,41,83%,71%,4.2,-,-,-,83%,71%,86%,93%,25%,59%,100%,-
2,11(1),0.3,-,2.4,6.53,3,0.6,0.3,75%,0.7,1,-,1.1,1.4,3.6,0.6,0.5,0.9,1,-,-,0.3,44.8,86%,68%,5,57%,43%,75%,86%,68%,87%,92%,40%,60%,-,14%
1,6(10),0.3,-,0.3,6.21,-,-,-,-,-,0.1,-,0.8,0.5,0.7,0.5,0.3,0.1,-,1,-,0.3,19.3,87%,70%,1.9,-,-,-,87%,70%,88%,91%,50%,43%,-,-
4,16(2),0.7,2,0.6,6.46,-,0.4,0.1,-,0.4,0.9,-,1.8,0.6,0.8,0.1,-,1.6,-,1,2,0.7,50.9,85%,74%,5.5,13%,-,-,85%,74%,88%,93%,20%,61%,-,-
5,10(8),0.1,-,0.1,6.19,-,0.4,0.1,-,0.2,0.3,-,0.9,0.4,0.9,0.4,-,1.1,-,-,-,0.1,29.5,91%,76%,2.3,13%,-,-,91%,76%,93%,98%,-,81%,-,-
0,8(5),0.4,1,0.6,6.46,2,1.2,0.3,100%,0.7,1.3,0.5,0.5,-,0.2,-,-,1.1,-,-,1,0.4,15.9,85%,80%,1.5,27%,13%,100%,85%,80%,89%,100%,-,70%,-,-
3,11(4),0.4,1,0.8,6.38,-,0.2,0.1,-,0.6,1.4,-,1.4,1.3,1.9,0.5,0.2,1.5,2,-,1,0.4,45.2,88%,76%,4.5,33%,-,-,88%,76%,92%,92%,25%,62%,-,20%
4,8(6),0.8,2,0.4,6.44,-,1.1,0.3,-,0.7,0.8,-,0.8,0.4,0.3,0.1,-,0.7,-,2,2,0.8,26.8,81%,69%,2.8,25%,-,-,81%,69%,89%,86%,15%,51%,100%,-
0,3(10),0.1,-,0.4,6.37,1,1,0.5,-,0.8,0.5,0.3,0.9,0.2,0.2,0.1,-,0.2,-,-,-,0.1,12.7,76%,65%,1.7,46%,8%,-,76%,65%,82%,88%,-,33%,-,-
2,25(3),0.1,-,1.5,6.5,1,0.3,0.1,100%,0,0.3,-,1.3,1.1,4.8,0.8,0.4,0.8,-,-,-,0.1,40.5,91%,75%,4.4,50%,13%,100%,91%,75%,91%,93%,-,40%,-,-
1,0(3),0.3,-,0.3,6.2,-,-,-,-,0.3,0.7,0.3,1,-,0.3,-,-,1,-,-,-,0.3,16.7,88%,78%,0.7,-,-,-,88%,78%,91%,100%,-,75%,-,-
0,1,1,-,2,6.75,-,-,-,-,2,1,-,2,1,2,-,-,1,-,-,-,1,55,78%,56%,2,-,-,-,78%,56%,84%,100%,14%,33%,-,-
7,8(5),0.3,-,0.4,6.37,-,0.5,0.1,-,-,0.6,-,1.5,0.9,1.5,0.5,0.1,1.8,-,1,-,0.3,37,86%,71%,3.7,14%,-,-,86%,71%,90%,91%,40%,57%,-,-
2,3(4),-,-,0.3,6,-,0.3,-,-,0.1,0.1,-,0.1,0.3,0.6,-,-,1.1,-,-,-,-,15.7,89%,74%,0.4,-,-,-,89%,74%,92%,94%,-,50%,-,-
0,1(3),0.8,-,-,6.27,-,0.8,0.3,-,0.3,0.5,-,0.8,0.3,0.3,0.3,-,0.8,-,-,-,0.8,15.3,90%,95%,2,33%,-,-,90%,95%,92%,50%,100%,-,-,-
1,1(12),0.2,-,0.2,6.05,-,0.2,0.1,-,0.2,0.5,0.2,0.1,-,-,-,-,0.3,-,1,-,0.2,5.2,87%,78%,0.7,50%,-,-,87%,78%,93%,75%,50%,-,-,-
0,1(1),-,-,-,6.11,-,0.5,-,-,-,-,-,-,-,0.5,-,-,1,-,-,-,-,13,73%,57%,3,-,-,-,73%,57%,77%,83%,-,25%,-,-
1,18(2),0.3,1,2.2,6.41,1,0.5,0.2,-,0.1,0.2,-,1.1,1.1,3.5,0.9,0.4,1.2,1,1,1,0.3,40.2,85%,64%,2.8,33%,11%,-,85%,64%,85%,95%,40%,32%,-,20%
0,5(5),-,-,0.1,6.07,-,-,-,-,-,0.2,-,0.1,0.1,-,-,-,0.2,-,-,-,-,1.4,57%,50%,0.3,-,-,-,57%,50%,50%,100%,-,50%,-,-
0,0(3),-,-,-,5.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3,75%,100%,-,-,-,-,75%,100%,67%,-,-,-,-,-
3,11(6),0.5,2,1.4,6.73,1,0.4,0.1,-,0.1,0.6,-,1.3,1.6,2.6,0.2,0.2,1.5,-,1,2,0.5,23.6,77%,64%,2.8,17%,17%,-,77%,64%,80%,89%,19%,50%,-,-
0,10(9),1.1,8,0.1,6.52,-,1.2,0.4,-,0.4,1.4,0.2,1.1,0.3,0.4,0.2,-,1.2,-,4,8,1.1,27.4,83%,77%,3.2,32%,-,-,83%,77%,84%,90%,24%,51%,100%,-
1,5(5),0.9,1,0.2,6.58,1,1.4,0.3,100%,1.9,0.6,0.2,0.4,0.2,0.1,-,-,0.3,-,2,1,0.9,21.3,76%,63%,3.1,21%,7%,100%,76%,63%,88%,78%,42%,50%,-,-
2,10(2),1.2,1,7.2,7.67,9,3.3,1.4,38%,0.2,0.8,0.1,0.3,0.1,0.9,-,-,0.8,-,2,1,1.2,22.9,63%,53%,1.9,44%,23%,38%,63%,53%,73%,86%,100%,44%,-,-
0,27(1),1.2,7,4.2,7.51,11,4.2,1.4,75%,1.6,2.6,0.7,1.1,0.4,1.1,0,-,1.2,1,3,7,1.2,34.9,74%,60%,4.7,33%,9%,75%,74%,60%,82%,91%,29%,67%,50%,2%
2,26,0.2,-,2,6.6,1,0.5,0.2,-,0.2,0.5,-,1.5,1.8,3.5,0.9,0.5,1.5,2,-,-,0.2,32.6,81%,41%,3.5,38%,8%,-,81%,41%,85%,93%,-,52%,-,22%
1,5,0.2,-,2.4,6.42,-,0.2,-,-,0.2,1.6,-,0.2,1.4,5,0.8,0.4,1,1,-,-,0.2,37.4,90%,64%,4.4,-,-,-,90%,64%,88%,98%,-,42%,-,50%
1,10(4),0.1,-,2.2,6.54,1,0.3,0.1,100%,0.4,0.1,-,1.1,0.9,2,0.4,0.3,1.6,-,-,-,0.1,20.8,76%,57%,2.4,50%,25%,100%,76%,57%,76%,92%,-,52%,-,-
2,24(1),3.2,8,0.2,7.14,2,0.9,0.3,50%,1.9,0.7,0.2,0.7,0.4,0.3,-,-,0.9,1,11,8,3.2,34,79%,66%,4,36%,9%,50%,79%,66%,87%,92%,39%,45%,25%,3%
1,7(3),1,-,0.3,6.42,-,0.6,-,-,0.2,1.5,0.1,1.7,0.3,0.2,0.1,-,1,-,1,-,1,26.6,85%,73%,4.4,-,-,-,85%,73%,91%,92%,31%,51%,-,-
8,23(1),0.4,-,1.2,6.52,1,0.3,0,100%,0.4,1,0,2,1.3,1.3,0.2,0.1,2.1,1,1,-,0.4,37,82%,68%,6.3,14%,14%,100%,82%,68%,84%,91%,22%,57%,-,3%
5,14(4),0.1,-,0.5,6.34,1,0.3,0.1,-,0.5,1,-,1.1,0.4,0.4,0.2,-,1.3,-,-,-,0.1,24.4,87%,69%,3.2,33%,17%,-,87%,69%,92%,95%,-,70%,-,-
2,19(1),0.2,1,2,6.47,-,0.5,0.1,-,0.1,0.6,-,1.5,0.7,3.7,1.1,0.5,0.6,-,-,1,0.2,35.3,79%,43%,3.6,22%,-,-,79%,43%,83%,91%,-,44%,-,-
2,15,0.4,-,0.6,6.26,-,0.1,0.1,-,0.3,0.5,-,1.2,1.1,2,0.6,0.1,0.9,-,-,-,0.4,29.4,76%,66%,2.4,50%,-,-,76%,66%,79%,87%,26%,43%,-,-
6,16(1),0.4,-,1,6.43,-,0.1,-,-,0.2,1.7,-,2,1.7,2.8,0.5,-,1.8,1,-,-,0.4,31,77%,56%,3.5,-,-,-,77%,56%,81%,86%,33%,41%,100%,17%
6,13(4),0.3,1,0.5,6.36,-,0.8,0.2,-,0.2,0.9,-,1.5,0.9,0.8,0.4,0.1,1.1,-,1,1,0.3,28.6,84%,69%,3.8,21%,-,-,84%,69%,88%,91%,43%,56%,-,-
8,21,0.6,-,1.6,6.54,1,0.2,0,-,0.1,0.9,0,2.2,0.8,2.8,0.6,0.2,1.7,1,-,-,0.6,41.7,78%,58%,6,20%,20%,-,78%,58%,82%,92%,30%,52%,-,13%
1,15(1),0.4,-,2.1,6.95,1,0.4,0.2,-,0.2,0.6,-,1.1,1.2,4.4,0.6,0.8,0.4,-,-,-,0.4,44.1,84%,60%,3.7,50%,17%,-,84%,60%,89%,94%,50%,38%,-,-
1,9(1),0.5,-,0.1,6.29,-,0.1,-,-,0.3,0.8,-,2,0.9,1.7,-,0.2,1.4,1,-,-,0.5,27.6,81%,68%,3.6,-,-,-,81%,68%,86%,86%,19%,61%,-,10%
1,3(2),0.6,-,0.4,5.98,-,-,-,-,0.2,0.4,0.2,0.6,-,1.6,-,0.6,0.4,-,-,-,0.6,21,73%,42%,4.2,-,-,-,73%,42%,80%,94%,50%,38%,-,-
0,2(12),0.2,1,1.4,6.17,-,0.6,0.1,-,0.1,0.5,0.2,0.3,0.1,0.5,0.1,0.1,0.5,-,-,1,0.2,6.4,61%,51%,1,22%,-,-,61%,51%,70%,75%,100%,100%,-,-
3,14(5),1.1,1,0.3,6.34,1,0.8,0.3,-,0.8,1.2,0.1,0.9,0.2,0.4,0.1,-,0.5,-,1,1,1.1,20.8,81%,76%,2.4,38%,6%,-,81%,76%,83%,95%,31%,57%,-,-
1,6(6),0.4,-,0.5,6.52,2,1,0.5,33%,0.3,0.3,-,0.8,0.4,1.3,-,-,0.6,-,-,-,0.4,17,68%,51%,1.8,50%,17%,33%,68%,51%,71%,89%,31%,15%,-,-
2,8,-,-,2.8,6.43,-,0.8,-,-,0.1,0.4,0.1,1.9,1.8,4.5,0.6,0.8,0.8,-,-,-,-,29,74%,43%,5.3,-,-,-,74%,43%,75%,86%,-,37%,-,-
1,6(1),1.1,1,0.4,6.95,-,0.1,0.1,-,1.3,1.1,-,0.9,1.9,3.1,0.7,-,1.7,-,1,1,1.1,22.7,62%,55%,4.4,100%,-,-,62%,55%,61%,83%,33%,30%,-,-
0,2(8),0.1,-,-,5.96,-,0.1,-,-,-,0.1,-,0.3,-,0.3,-,-,0.3,-,-,-,0.1,5.2,87%,71%,0.2,-,-,-,87%,71%,89%,89%,-,100%,-,-
1,1(7),-,-,0.6,6.03,-,-,-,-,-,0.4,0.1,0.3,-,0.4,-,-,0.3,-,-,-,-,6.3,74%,57%,0.6,-,-,-,74%,57%,83%,100%,-,50%,-,-
1,3,1,-,1,6.06,-,-,-,-,0.3,0.7,-,-,0.3,0.7,-,-,2.3,-,-,-,1,39.3,77%,56%,3.7,-,-,-,77%,56%,84%,88%,20%,38%,-,-
1,7(4),0.4,-,0.5,6.43,1,0.6,0.3,-,0.5,1.1,0.1,1,0.7,0.4,0.3,0.2,0.7,-,-,-,0.4,15.4,82%,62%,2.7,43%,14%,-,82%,62%,89%,87%,14%,46%,-,-
0,9(2),1.3,1,0.3,6.68,1,2.7,1.3,-,0.7,1.5,0.4,0.5,0.5,0.5,-,-,0.5,1,1,1,1.3,24.5,73%,64%,2.9,47%,3%,-,73%,64%,79%,87%,22%,34%,-,10%
0,14,0.4,-,4,6.83,2,0.4,0.2,100%,0.2,0.7,-,0.9,0.9,5.1,0.4,0.3,0.4,-,-,-,0.4,27.8,78%,55%,3.1,60%,40%,100%,78%,55%,78%,91%,-,43%,-,-
5,26(2),0.4,3,1.4,6.59,-,0.1,0,-,0.1,0.5,0.1,1.8,1.5,3.1,0.5,0.2,1,2,1,3,0.4,34.8,75%,55%,4,33%,-,-,75%,55%,78%,86%,19%,44%,-,13%
1,2(6),0.3,-,-,6.14,-,0.4,0.1,-,-,1.4,0.1,0.8,-,-,-,-,0.6,-,-,-,0.3,6.9,80%,72%,1.3,33%,-,-,80%,72%,86%,78%,-,100%,-,-
4,20(9),0.6,5,3.1,6.75,8,1.7,0.8,42%,0.2,1.6,0.2,0.6,0.1,0.9,0,-,1.2,-,3,5,0.6,20,70%,56%,1.8,46%,16%,42%,70%,56%,78%,92%,-,57%,100%,-
0,9(9),0.5,1,0.6,6.41,2,0.5,0.2,-,0.3,0.8,0.1,1.3,0.7,0.4,-,-,0.7,-,1,1,0.5,17.1,75%,61%,2.7,33%,22%,-,75%,61%,80%,94%,21%,30%,-,-
3,15(1),0.6,1,1.1,6.57,-,0.4,-,-,1.1,0.7,0.1,1.4,1.3,2.6,0.3,0.1,0.8,-,1,1,0.6,37.5,76%,64%,4.9,-,-,-,76%,64%,78%,85%,31%,39%,-,-
1,2(1),0.3,-,-,6.26,-,-,-,-,0.3,0.7,-,1.7,0.7,0.7,-,-,0.3,-,-,-,0.3,25.3,89%,91%,4,-,-,-,89%,91%,86%,100%,-,33%,-,-
0,2(3),0.2,-,0.2,6.39,-,-,-,-,1.2,-,-,1.2,0.2,0.2,-,0.2,1,-,-,-,0.2,17.4,82%,61%,3,-,-,-,82%,61%,89%,80%,67%,67%,-,-
0,3(2),0.4,-,1,6.05,-,-,-,-,0.4,0.4,-,0.8,0.4,1,-,0.6,1,-,-,-,0.4,15.8,66%,47%,1.8,-,-,-,66%,47%,74%,62%,50%,20%,-,-
1,2(1),-,-,1,6.21,-,0.3,-,-,-,-,-,1.3,0.3,4,-,0.3,0.3,-,-,-,-,21.7,82%,60%,3,-,-,-,82%,60%,83%,86%,-,29%,-,-
0,1(4),1,-,0.2,6.22,-,0.8,0.2,-,0.4,0.4,-,0.2,0.2,-,-,-,1,-,-,-,1,12.2,89%,86%,1.4,25%,-,-,89%,86%,90%,100%,-,100%,-,-
3,3(8),0.5,1,0.3,6.35,-,0.4,-,-,0.8,1.6,-,0.7,0.5,0.2,-,-,0.5,1,-,1,0.5,12.5,82%,74%,2.9,-,-,-,82%,74%,84%,92%,36%,70%,100%,11%
0,1,1,-,-,6.76,-,2,1,-,1,1,-,2,3,1,-,-,-,-,-,-,1,43,86%,80%,6,50%,-,-,86%,80%,84%,100%,-,25%,-,-
1,10(5),0.5,-,2.3,6.8,8,2.8,1,50%,0.9,0.9,0.9,0.7,-,0.3,0.2,-,2,-,-,-,0.5,13.7,70%,57%,1.6,36%,19%,50%,70%,57%,84%,88%,33%,67%,-,-
1,26(1),2.4,5,1.3,6.9,4,1.4,0.4,-,0.6,1,-,1,1.1,1.3,0.1,-,0.7,-,3,5,2.4,45.5,81%,71%,5.3,27%,11%,-,81%,71%,88%,90%,34%,55%,100%,-
2,20(5),1.1,5,2.6,6.78,5,3.2,1.1,18%,1.1,2.3,0.2,0.6,0.1,0.4,-,-,1.6,1,5,5,1.1,18.5,67%,58%,1.6,34%,6%,18%,67%,58%,76%,83%,5%,50%,100%,2%
4,20(8),0.6,2,0.7,6.61,1,1.5,0.3,-,1,2,-,1.6,0.6,0.4,0,-,0.8,1,1,2,0.6,24.6,79%,66%,4.6,16%,2%,-,79%,66%,88%,88%,14%,57%,-,4%
0,8(9),1,8,1.1,6.76,1,1.3,0.3,50%,0.9,1.7,0.2,0.6,0.2,0.5,0.1,-,0.7,-,4,8,1,15.8,71%,66%,1.6,23%,5%,50%,71%,66%,77%,75%,20%,38%,50%,-
6,20(1),0.2,-,1.1,6.63,-,0.3,-,-,0.2,0.4,-,1.8,1.1,3.8,0.7,0.5,0.9,-,2,-,0.2,34.6,86%,63%,4.4,-,-,-,86%,63%,89%,93%,50%,58%,-,-
6,22(5),0.9,2,1,6.59,2,1,0.3,50%,0.9,1.6,0.1,1.3,0.8,0.8,0.1,0.1,1.6,-,1,2,0.9,27.9,82%,69%,3.6,25%,7%,50%,82%,69%,86%,90%,23%,30%,-,-
0,2(2),0.8,-,0.8,6.28,-,1,0.3,-,0.8,1,-,0.3,0.5,-,-,-,0.8,-,-,-,0.8,30.5,86%,72%,2.8,25%,-,-,86%,72%,91%,100%,25%,50%,-,-
1,12,0.5,-,0.8,6.26,-,0.3,-,-,0.8,0.9,-,2.9,0.7,1.8,0.2,0.5,2.3,1,-,-,0.5,23.8,68%,55%,4.1,-,-,-,68%,55%,73%,70%,13%,40%,-,11%
